I007I,I007I.1,I007I.2,I007I.3,I007I.4,I007I.5,I007I.6,I007I.7,I007I.8,I007I.9,I007I.10,I007I.11,I007I.12,I007I.13,I007I.14,I007I.15,I007I.16,I007I.17,I007I.18,I007I.19,younesthe God34,younesthe God34.1,younesthe God34.2,younesthe God34.3,younesthe God34.4,younesthe God34.5,younesthe God34.6,younesthe God34.7,younesthe God34.8,younesthe God34.9,younesthe God34.10,younesthe God34.11,younesthe God34.12,younesthe God34.13,younesthe God34.14,younesthe God34.15,younesthe God34.16,younesthe God34.17,younesthe God34.18,younesthe God34.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,I007I.20,younesthe God34.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,dodge_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.439556121826172,0.033974599093198776,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.473514556884766,0.03395899757742882,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.507387161254883,0.033872902393341064,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.545889854431152,0.038502100855112076,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.588512420654297,0.042622197419404984,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.632375717163086,0.04386430233716965,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.666247367858887,0.03387199714779854,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.700372695922852,0.034125301986932755,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.736379623413086,0.03600740060210228,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.77135944366455,0.03498020023107529,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.806489944458008,0.035130299627780914,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.840808868408203,0.03431849926710129,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.875041007995605,0.034232500940561295,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.908803939819336,0.03376229852437973,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.943829536437988,0.035025499761104584,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.977653503417969,0.03382410109043121,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,14.01271915435791,0.03506609797477722,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,14.046080589294434,0.03336130082607269,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,0.7854089554748602,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,14.087899208068848,0.04181860014796257,300,3.0,,,,
